created_at,entry_id,Chadni Chowk,Gariahat,Dharmatala
26-10-2017 07:59,167601,2.562637363,3.015531136,2.758461538
26-10-2017 08:00,167602,2.565860806,3.016336996,2.761684982
26-10-2017 08:00,167603,2.56989011,3.01956044,2.764102564
26-10-2017 08:01,167604,2.573113553,3.01956044,2.766520147
26-10-2017 08:02,167605,2.576336996,3.01956044,2.768131868
26-10-2017 08:02,167606,2.578754579,3.021172161,2.76974359
26-10-2017 08:03,167607,2.57956044,3.022783883,2.768937729
26-10-2017 08:04,167608,2.575531136,3.01956044,2.768937729
26-10-2017 08:04,167609,2.578754579,3.021172161,2.76974359
26-10-2017 08:05,167610,2.57956044,3.021978022,2.770549451
26-10-2017 08:06,167611,2.578754579,3.0203663,2.770549451
26-10-2017 08:07,167612,2.478827839,2.977655678,2.683516484
26-10-2017 08:07,167613,2.556190476,3.013113553,2.752014652
26-10-2017 08:08,167614,2.512673993,2.998608059,2.720586081
26-10-2017 08:08,167615,2.563443223,3.01956044,2.761684982
26-10-2017 08:09,167616,2.468351648,2.974432234,2.678681319
26-10-2017 08:10,167617,2.540879121,3.006666667,2.741538462
26-10-2017 08:11,167618,2.556190476,3.013919414,2.755238095
26-10-2017 08:11,167619,2.561831502,3.014725275,2.757655678
26-10-2017 08:12,167620,2.574725275,3.01956044,2.76974359
26-10-2017 08:13,167621,2.571501832,3.01956044,2.764908425
26-10-2017 08:13,167622,2.571501832,3.01956044,2.765714286
26-10-2017 08:14,167623,2.467545788,2.971208791,2.673846154
26-10-2017 08:15,167624,2.544102564,3.005860806,2.741538462
26-10-2017 08:16,167625,2.561831502,3.015531136,2.757655678
26-10-2017 08:16,167626,2.56989011,3.01956044,2.765714286
26-10-2017 08:17,167627,2.466739927,2.972014652,2.674652015
26-10-2017 08:18,167628,2.542490842,3.005860806,2.739120879
26-10-2017 08:19,167629,2.44981685,2.964761905,2.660952381
26-10-2017 08:19,167630,2.531208791,3.001831502,2.731062271
26-10-2017 08:20,167631,2.552967033,3.012307692,2.75040293
26-10-2017 08:21,167632,2.56021978,3.015531136,2.757655678
26-10-2017 08:21,167633,2.561831502,3.015531136,2.757655678
26-10-2017 08:22,167634,2.463516484,2.971208791,2.671428571
26-10-2017 08:23,167635,2.533626374,3.002637363,2.731868132
26-10-2017 08:23,167636,2.546520147,3.008278388,2.744761905
26-10-2017 08:24,167637,2.557802198,3.013919414,2.754432234
26-10-2017 08:25,167638,2.461098901,2.967985348,2.668205128
26-10-2017 08:25,167639,2.534432234,3.002637363,2.732673993
26-10-2017 08:26,167640,2.548131868,3.009084249,2.745567766
26-10-2017 08:27,167641,2.54974359,3.008278388,2.744761905
26-10-2017 08:27,167642,2.552161172,3.009084249,2.746373626
26-10-2017 08:33,167643,2.556190476,3.010695971,2.74959707
26-10-2017 08:33,167644,2.554578755,3.007472527,2.747179487
26-10-2017 08:34,167645,2.555384615,3.007472527,2.745567766
26-10-2017 08:35,167646,2.554578755,3.007472527,2.747179487
26-10-2017 08:35,167647,2.553772894,3.008278388,2.745567766
26-10-2017 08:36,167648,2.561025641,3.012307692,2.752014652
26-10-2017 08:37,167649,2.54974359,3.007472527,2.743956044
26-10-2017 08:38,167650,2.444981685,2.955897436,2.64967033
26-10-2017 08:39,167651,2.527985348,2.996190476,2.723809524
26-10-2017 08:39,167652,2.544908425,3.005860806,2.740732601
26-10-2017 08:40,167653,2.556190476,3.011501832,2.752014652
26-10-2017 08:41,167654,2.462710623,2.968791209,2.66981685
26-10-2017 08:41,167655,2.536043956,3.001831502,2.733479853
26-10-2017 08:42,167656,2.441758242,2.958315018,2.652087912
26-10-2017 08:43,167657,2.522344322,2.994578755,2.722197802
26-10-2017 08:43,167658,2.438534799,2.956703297,2.648864469
26-10-2017 08:44,167659,2.51992674,2.994578755,2.721391941
26-10-2017 08:45,167660,2.545714286,3.00989011,2.746373626
26-10-2017 08:45,167661,2.552967033,3.010695971,2.75040293
26-10-2017 08:46,167662,2.451428571,2.963956044,2.660952381
26-10-2017 08:47,167663,2.52959707,2.997802198,2.727838828
26-10-2017 08:47,167664,2.436923077,2.957509158,2.648058608
26-10-2017 08:48,167665,2.523956044,2.997802198,2.725421245
26-10-2017 08:49,167666,2.552161172,3.011501832,2.751208791
26-10-2017 08:49,167667,2.444981685,2.961538462,2.656923077
26-10-2017 08:50,167668,2.523956044,2.995384615,2.723809524
26-10-2017 08:51,167669,2.539267399,3.002637363,2.735897436
26-10-2017 08:52,167670,2.544908425,3.005860806,2.740732601
26-10-2017 08:52,167671,2.544908425,3.006666667,2.742344322
26-10-2017 08:53,167672,2.54974359,3.006666667,2.742344322
26-10-2017 08:54,167673,2.445787546,2.958315018,2.652087912
26-10-2017 08:54,167674,2.523150183,2.994578755,2.720586081
26-10-2017 08:55,167675,2.538461538,3.001831502,2.735091575
26-10-2017 08:56,167676,2.543296703,3.005054945,2.739120879
26-10-2017 08:56,167677,2.559413919,3.013113553,2.753626374
26-10-2017 08:57,167678,2.550549451,3.007472527,2.744761905
26-10-2017 08:58,167679,2.551355311,3.006666667,2.744761905
26-10-2017 08:58,167680,2.551355311,3.006666667,2.743956044
26-10-2017 08:59,167681,2.553772894,3.008278388,2.744761905
26-10-2017 09:00,167682,2.569084249,3.015531136,2.76007326
26-10-2017 09:01,167683,2.556996337,3.009084249,2.748791209
26-10-2017 09:01,167684,2.556996337,3.009084249,2.747179487
26-10-2017 09:02,167685,2.452234432,2.95992674,2.654505495
26-10-2017 09:03,167686,2.527179487,2.995384615,2.723003663
26-10-2017 09:03,167687,2.437728938,2.955091575,2.646446886
